feature,importance_mean,importance_std
log1p_delivery_days,0.0026791765624227725,0.0006987108492030588
text_char_len,0.0019190823005204734,0.0018155296158330484
review_score,0.0011682297087435172,0.0007041673290192753
payment_installments_max,0.0009391389648262923,0.0007146192478993842
text_word_count,0.0009183912455474639,0.0013819440550039896
customer_state,0.0007521549278377171,0.0010374114460381424
same_state_seller_customer,0.0006476610726137172,9.729089987827233e-05
delivery_delay_days_clipped,0.0005517200351696213,0.0007128508650007604
log1p_payment_value_total,0.000428761883863292,0.0006625179193681304
seller_state_mode,0.00041455625836101727,0.00041600074698582896
late_delivery_flag,1.1231469282008826e-05,0.00018179076184357144
seller_count,-2.908083888820828e-05,1.0305764445873534e-05
product_category_main,-0.00025157697053307463,0.0014529058625775935
log1p_total_price,-0.0002865733329943866,0.001221092215571475
text_present,-0.00045961440748108415,0.001225567315956452
log1p_approval_lag_hours,-0.0006024326581263665,0.0010429787072865088
item_count,-0.0007064794463972728,0.00010378327978682223
payment_type_mode,-0.0008077498994188068,0.00021884037101119706
log1p_total_freight,-0.0008287554670457088,0.001690739351431807
freight_ratio,-0.0012073375211821779,0.0016945611822795628
