feature,coefficient,abs_coefficient
text__atendimento,2.0182384052222373,2.0182384052222373
text__comprei um,-2.0177808398736836,2.0177808398736836
text__parcialmente,2.0159694928286847,2.0159694928286847
text__filho adorou,2.0125277153964376,2.0125277153964376
tab__cat__product_category_main_home_comfort_2,2.0119414720576203,2.0119414720576203
text__dia,-2.0117830754818,2.0117830754818
text__usado,2.004530894484266,2.004530894484266
text__dos,2.0044493575079545,2.0044493575079545
text__qualquer,2.0036786020747566,2.0036786020747566
text__relógios,2.000348389539677,2.000348389539677
text__necessidade,1.9984763725817811,1.9984763725817811
text__troca do,1.9897112320927997,1.9897112320927997
text__compra recomendo,1.9874261531256971,1.9874261531256971
text__bom produto,1.9738680560809614,1.9738680560809614
text__embalado,1.9704255253068226,1.9704255253068226
text__que faço,1.9702957843621987,1.9702957843621987
tab__cat__product_category_main_fashion_male_clothing,1.9568267263887729,1.9568267263887729
text__excelente atendimento,-1.9567965547609794,1.9567965547609794
text__marcas,1.9525125762849378,1.9525125762849378
text__ótimo atendimento,1.9491296483785532,1.9491296483785532
text__top,-1.9336600719869208,1.9336600719869208
text__com produto,-1.9271855431802507,1.9271855431802507
text__chega bem,1.9218644254880959,1.9218644254880959
text__bom chegou,-1.9181085571906729,1.9181085571906729
text__como,-1.9116273813970146,1.9116273813970146
text__com algumas,1.903695527564405,1.903695527564405
text__excelente,1.898941771818033,1.898941771818033
text__produto conforme,1.8945871029903856,1.8945871029903856
text__mandaram,1.894296256190657,1.894296256190657
text__caixa veio,1.8928818085121009,1.8928818085121009
text__parabéns loja,1.8901916930718818,1.8901916930718818
text__como descrito,1.8882931213440157,1.8882931213440157
text__empresa,-1.8875557768083766,1.8875557768083766
text__todos os,1.8864644047575776,1.8864644047575776
text__rápido,1.8751034173933498,1.8751034173933498
text__recomendado,1.8727189277595933,1.8727189277595933
text__bem rápido,-1.8664471603095527,1.8664471603095527
tab__cat__product_category_main_computers,-1.8643240523106144,1.8643240523106144
text__com as,1.8593904738385878,1.8593904738385878
text__as necessidades,1.8580150027830395,1.8580150027830395
text__por causa,1.8541677115395803,1.8541677115395803
text__certinho produto,1.854000270236818,1.854000270236818
text__entregar,1.8514335685489378,1.8514335685489378
text__chegou super,1.8486524442654364,1.8486524442654364
text__algumas,1.846960986183207,1.846960986183207
text__produto exatamente,1.845418066501499,1.845418066501499
text__produto entregue,1.843230888591141,1.843230888591141
text__pedido,-1.8419543290504592,1.8419543290504592
text__de parabens,1.8371912672572164,1.8371912672572164
text__produto recebido,1.836695536739801,1.836695536739801
text__troca,1.833855789849616,1.833855789849616
text__produto em,1.8336633104631472,1.8336633104631472
text__superou,-1.831917505567573,1.831917505567573
tab__cat__product_category_main_books_technical,-1.8315680188237298,1.8315680188237298
text__mas quando,1.8301727557368364,1.8301727557368364
text__bonito recomendo,1.8288656803463612,1.8288656803463612
text__embalado entregue,1.8254665656141604,1.8254665656141604
text__pois já,1.8211403515199458,1.8211403515199458
text__30,1.819965548353546,1.819965548353546
text__avarias,1.8195160236303134,1.8195160236303134
text__como sempre,-1.8169390202549776,1.8169390202549776
text__tem como,1.815701237981163,1.815701237981163
text__ótimo vendedor,-1.815202646131619,1.815202646131619
text__dia das,1.8138410107453182,1.8138410107453182
text__loja entregou,1.813550980749492,1.813550980749492
text__várias,1.813504457633219,1.813504457633219
text__quando chegou,1.813214425799917,1.813214425799917
text__agradecer,1.8095640839431302,1.8095640839431302
text__em ótimas,1.8093547323234997,1.8093547323234997
text__ótimas condições,1.8093547323234997,1.8093547323234997
text__td,-1.8035797393183814,1.8035797393183814
text__cor errada,1.8016416425507402,1.8016416425507402
text__chegou antes,-1.7964306299827306,1.7964306299827306
text__restante,1.7872459914767997,1.7872459914767997
text__estado recomendo,1.7855705523891907,1.7855705523891907
text__condiz com,1.784579188195574,1.784579188195574
text__está,-1.7804043436202015,1.7804043436202015
text__descrito,1.7688457356592937,1.7688457356592937
text__avisar,1.7687002516779449,1.7687002516779449
text__capa para,1.7614882553487443,1.7614882553487443
text__depois,1.7608758199666585,1.7608758199666585
text__trincado,1.7601859083664009,1.7601859083664009
text__nada declarar,1.757102088186404,1.757102088186404
text__produto amei,1.753721248604511,1.753721248604511
text__rápida recomendo,-1.753032524838144,1.753032524838144
text__lindo na,1.752792134438235,1.752792134438235
text__vale,1.7496775405352818,1.7496775405352818
text__funcionamento,1.748746643287692,1.748746643287692
text__10,-1.7484508515876007,1.7484508515876007
text__preços,1.7445264003169574,1.7445264003169574
text__material muito,1.742542579662238,1.742542579662238
text__feito,1.7414996358821322,1.7414996358821322
text__eu queria,1.7411996392855311,1.7411996392855311
text__cumpre que,1.7403163212948425,1.7403163212948425
text__muito boa,1.738323296546948,1.738323296546948
text__produto atende,1.7312174200738553,1.7312174200738553
text__produtos veio,1.728906669912174,1.728906669912174
text__parabéns lojas,1.7251115748714985,1.7251115748714985
text__entrega rápida,1.72488299731642,1.72488299731642
text__presente,-1.723846523409631,1.723846523409631
text__porem,-1.7196030020126083,1.7196030020126083
text__2017,1.718696652573027,1.718696652573027
text__previsto muito,1.7148941257765087,1.7148941257765087
text__no prazo,1.7102406625109359,1.7102406625109359
text__rápida produto,-1.7098889692101644,1.7098889692101644
text__do relógio,1.7096874598903484,1.7096874598903484
text__quero,1.7054122094127793,1.7054122094127793
text__com bom,1.7042659452947226,1.7042659452947226
text__estado,-1.702329078082078,1.702329078082078
text__qualidade entrega,-1.6985524993780357,1.6985524993780357
text__de fazer,1.695181260028259,1.695181260028259
text__condiz,1.6899403412785894,1.6899403412785894
text__produto ainda,-1.68612381162784,1.68612381162784
text__ainda vou,1.6819032560258136,1.6819032560258136
text__recebimento do,1.6723909342912804,1.6723909342912804
text__entrega produto,1.6719022927572584,1.6719022927572584
text__causa,1.6717090892043172,1.6717090892043172
text__entregou no,1.6710864727689898,1.6710864727689898
text__receber,1.6676701066106079,1.6676701066106079
text__com loja,1.666635851491805,1.666635851491805
text__vendedor,1.6655619117942342,1.6655619117942342
text__cumprem,1.6594078035485502,1.6594078035485502
text__rápida estou,1.6591656116223867,1.6591656116223867
text__atendeu minhas,1.657228679103514,1.657228679103514
text__conforme combinado,1.6564897603139486,1.6564897603139486
text__aviso,1.6563785631718797,1.6563785631718797
text__todos que,1.65557257973786,1.65557257973786
text__prazo de,-1.6549455879233925,1.6549455879233925
text__meu produto,1.6540575239721804,1.6540575239721804
text__veio só,1.653505115362018,1.653505115362018
text__do previsto,1.6500019647319888,1.6500019647319888
text__atendimento recomendo,1.6442312233448901,1.6442312233448901
text__esse,-1.6425958091620212,1.6425958091620212
text__fazer compras,1.6424011006238908,1.6424011006238908
text__otimo,1.6421489449395021,1.6421489449395021
text__atendimento rápido,1.6416887647733516,1.6416887647733516
text__foi,1.6412494931877715,1.6412494931877715
text__veio com,1.6402252779913042,1.6402252779913042
text__foi entrega,1.6399960087800352,1.6399960087800352
tab__cat__product_category_main_tablets_printing_image,-1.6364793397936748,1.6364793397936748
text__nos correios,1.636056618861783,1.636056618861783
text__na hora,1.6320049626773023,1.6320049626773023
text__fiquei feliz,1.630845908743583,1.630845908743583
text__ja,-1.6249727519308759,1.6249727519308759
text__ser,-1.616510454780015,1.616510454780015
text__recomendo entrega,1.6149447133376782,1.6149447133376782
text__compro no,1.6138768224959148,1.6138768224959148
text__venda,1.6136759141796804,1.6136759141796804
text__no tempo,-1.6133800923427652,1.6133800923427652
text__coqueteleira,1.6098916496672235,1.6098916496672235
text__satisfeito,1.6086163221337293,1.6086163221337293
text__do,1.6004324375858254,1.6004324375858254
text__demais,1.5978749783527069,1.5978749783527069
text__almofadas,1.5975969726074635,1.5975969726074635
text__excelente entrega,1.5941419470317502,1.5941419470317502
text__combinado,1.5922110470820354,1.5922110470820354
text__otima,1.5876401573481342,1.5876401573481342
text__diferente,-1.587270947595511,1.587270947595511
text__recebi um,-1.587247954740085,1.587247954740085
text__certo com,1.5823799672135552,1.5823799672135552
text__produto otimo,-1.5799215423748691,1.5799215423748691
text__nota 10,-1.5774114693528305,1.5774114693528305
text__fazer troca,1.5734270562590271,1.5734270562590271
text__produto material,1.572030671551272,1.572030671551272
text__terem,1.571825546315383,1.571825546315383
text__faço para,1.5712851321362333,1.5712851321362333
tab__cat__product_category_main_art,1.5699792247274793,1.5699792247274793
text__lannister pela,1.5697068914826844,1.5697068914826844
tab__cat__customer_state_MA,-1.5656997781894137,1.5656997781894137
tab__cat__product_category_main_costruction_tools_garden,1.5606447275727673,1.5606447275727673
tab__cat__product_category_main_agro_industry_and_commerce,-1.5603770647921253,1.5603770647921253
text__antes da,-1.5568768327353237,1.5568768327353237
text__pote,1.554187490081125,1.554187490081125
text__estou satisfeito,-1.5518075654365282,1.5518075654365282
text__posso avaliar,1.550272449003615,1.550272449003615
text__continuar,1.5490572881067202,1.5490572881067202
text__minha opinião,1.5471174626242374,1.5471174626242374
text__de solteiro,1.5460464599010966,1.5460464599010966
text__semana,-1.5455294374955524,1.5455294374955524
text__pulseira,1.5445980159907131,1.5445980159907131
text__imaginei que,1.5331850460440732,1.5331850460440732
text__demorou para,1.5313117068876545,1.5313117068876545
text__era,-1.5301673519370054,1.5301673519370054
text__jogos de,1.5293502322189605,1.5293502322189605
text__mesmo não,1.5239778299153677,1.5239778299153677
text__bonito de,1.5232145801715327,1.5232145801715327
text__recebimento,1.5230714387520854,1.5230714387520854
text__fosse um,1.521928812943059,1.521928812943059
text__certa,1.521892929300817,1.521892929300817
text__bonitas,1.5212018665396756,1.5212018665396756
text__as peças,1.5210382440718202,1.5210382440718202
text__veio correto,1.5195802382639028,1.5195802382639028
text__ótimo super,1.5170676919376245,1.5170676919376245
text__cozinha,1.5157550569457257,1.5157550569457257
text__foi super,1.5123694892217525,1.5123694892217525
text__super indico,1.5121349800324797,1.5121349800324797
text__posso,1.5119888824898577,1.5119888824898577
text__muito demorada,1.509197642970233,1.509197642970233
text__alguns,1.5074656457654791,1.5074656457654791
text__rápido produto,1.5034803621421393,1.5034803621421393
text__foram entregues,1.5010577784309638,1.5010577784309638
text__tudo ok,-1.4999730419558561,1.4999730419558561
text__antes,-1.4968463962570864,1.4968463962570864
text__juntas,1.4960535597597955,1.4960535597597955
text__declarar,1.4955544156789444,1.4955544156789444
text__mesmo,1.4942321437621302,1.4942321437621302
text__peso,1.4930528621806034,1.4930528621806034
text__as expectativas,1.4929101989144131,1.4929101989144131
tab__cat__product_category_main_furniture_mattress_and_upholstery,1.4915428647252535,1.4915428647252535
text__enviou,1.4888478911428016,1.4888478911428016
text__outros,1.487601989286082,1.487601989286082
text__ótimo entrega,-1.4864712204158954,1.4864712204158954
text__foto,-1.485508755293198,1.485508755293198
text__entregue em,-1.4833087236826916,1.4833087236826916
text__chegada do,1.483195114958583,1.483195114958583
text__que as,1.4830317136725972,1.4830317136725972
text__correios mas,1.4827112672997111,1.4827112672997111
text__que ainda,1.48220952215669,1.48220952215669
text__muito chegou,1.4802110931356314,1.4802110931356314
text__certeza,-1.4783470317178011,1.4783470317178011
text__bonita,-1.4772821270748735,1.4772821270748735
text__de bola,1.4768234463048824,1.4768234463048824
text__show de,1.4768234463048824,1.4768234463048824
text__empresas,1.476593432404647,1.476593432404647
text__tive que,1.4762046489616922,1.4762046489616922
text__prometido,-1.4701942509343073,1.4701942509343073
text__devolver,-1.4688526112214446,1.4688526112214446
text__pedindo,1.465821253788784,1.465821253788784
text__cerca de,1.4647594005092823,1.4647594005092823
text__cerca,1.4647594005092823,1.4647594005092823
text__paguei,-1.463403733748331,1.463403733748331
text__ótima loja,-1.463211030461158,1.463211030461158
text__testar produto,1.4629048590960567,1.4629048590960567
text__tudo certo,1.4613125045573665,1.4613125045573665
text__ok,1.4608192372408302,1.4608192372408302
text__bom mesmo,1.4603117322726025,1.4603117322726025
text__com manual,1.4602980992026622,1.4602980992026622
text__não condiz,1.459970221639536,1.459970221639536
tab__cat__product_category_main_furniture_bedroom,-1.4580961663498828,1.4580961663498828
tab__cat__product_category_main_drinks,1.456597604989885,1.456597604989885
text__prazo certo,-1.455785570568927,1.455785570568927
text__não tenha,1.4550571090585838,1.4550571090585838
text__oque,1.451532866961396,1.451532866961396
text__estabelecido,1.4505349509411412,1.4505349509411412
