,0
text_x_score,0.0021069056222435753
item_count,0.0012591959073613053
text_present,0.0011235540436460058
score_x_delivery,0.0008967303401513776
purchase_month,0.0007746943507618113
log1p_approval_lag_hours,0.000774558742744829
product_description_lenght_mean,0.0005582876042404955
product_category_main,0.0005457064039526872
payment_installments_max,0.0004429332320505172
volume_weight_ratio,0.0004400018505609296
price_per_item,0.00043005629709988794
review_score,0.00042784278188877367
text_char_len,0.00041081572736201277
payment_overhead,0.00032940524101739144
customer_state,0.0003253262000383825
multi_payment,0.00030417716646226334
delivery_efficiency,0.0002786801840289066
emotional_intensity,0.0002597589704053625
product_photos_qty_mean,0.0001801113183869732
log1p_total_price,0.0001305649656288682
word_density,0.00010396008150319325
log1p_total_freight,6.724574830673652e-05
weekend_purchase_flag,6.416846137477852e-05
freight_pct,5.13170836707981e-05
question_count,3.4614122816477993e-05
payment_gap,9.329729846116463e-07
seller_count,-4.622570759939271e-05
payment_type_mode,-6.844622313737295e-05
product_count,-6.947538172651785e-05
multi_product,-8.172500004932984e-05
delivery_delay_days_clipped,-0.0001410100074838265
late_delivery_flag,-0.00014318286837458616
delivery_days,-0.00014665399261919176
multi_seller,-0.00014979495742625457
seller_state_mode,-0.00016169072852234567
purchase_quarter,-0.000169158381733394
exclamation_count,-0.0001842393342309373
same_state_seller_customer,-0.0002718331986660341
price_x_late,-0.0003369980645902479
text_word_count,-0.0003997352323201475
desc_per_photo,-0.00041564565289720773
log1p_payment_value_total,-0.0004536734118793656
freight_ratio,-0.0004863940950157533
payment_type_nunique,-0.0006816272547108052
payment_records,-0.0007335677267829993
log1p_package_volume_cm3_mean,-0.0011825650079174549
log1p_product_weight_g_mean,-0.0013784969621939876
